"filename", "language", "Properties", "JSON with Comments", "JSON", "HTML", "GDScript", "compressionTargetFile", "CSS", "JavaScript", "XML", "LEC", "Markdown", "Shell Script", "Rust", "YAML", "C++", "comment", "blank", "total"
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Config\dynamic subtitles.json", "JSON", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Config\experimental tilemap.json", "JSON", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 139
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Config\kits at start.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Config\savestate\Chummer\char 1.json", "JSON", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Config\savestate\Chummer\common.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Config\savestate\quickStart\char 1.json", "JSON", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 43
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Config\savestate\quickStart\common.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 58
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Config\savestate\template\char 1.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 44
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Config\savestate\template\common.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 53
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\Output\Workspace Stats\2021-11-05_04-16-20\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1201, 0, 0, 0, 0, 0, 6, 1207
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\Output\Workspace Stats\2021-11-05_04-16-20\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 594, 0, 0, 0, 0, 0, 7, 601
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\Output\Workspace Stats\2021-11-05_04-17-42\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1201, 0, 0, 0, 0, 0, 6, 1207
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\Output\Workspace Stats\2021-11-05_04-17-42\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 594, 0, 0, 0, 0, 0, 7, 601
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\Output\Workspace Stats\2021-11-05_04-17-57\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1105, 0, 0, 0, 0, 0, 6, 1111
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\Output\Workspace Stats\2021-11-05_04-17-57\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 514, 0, 0, 0, 0, 0, 7, 521
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\Output\Workspace Stats\2021-11-05_04-19-36\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 854, 0, 0, 0, 0, 0, 6, 860
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\Output\Workspace Stats\2021-11-05_04-19-36\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 0, 7, 303
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\Output\Workspace Stats\2021-11-05_04-19-48\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 854, 0, 0, 0, 0, 0, 6, 860
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\Output\Workspace Stats\2021-11-05_04-19-48\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 0, 7, 303
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\src\backup_menue.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 37, 102
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\src\concatted_menue.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 14, 41
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\src\distribution_menue.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 31, 70
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\src\helpers.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 2, 47, 111
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 13, 42
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\src\menue.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 1, 31, 130
