Date : 2022-02-16 18:56:08
Directory : c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition
Total : 67 files,  10329 codes, 240 comments, -62 blanks, all 10507 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         17 |      8,793 |          0 |          0 |      8,793 |
| Properties         |         18 |      1,656 |         -1 |        -66 |      1,589 |
| Markdown           |          1 |         74 |          0 |          7 |         81 |
| LEC                |          1 |         27 |          8 |         21 |         56 |
| JSON with Comments |          1 |         11 |          0 |          1 |         12 |
| GDScript           |         22 |          4 |         -6 |          4 |          2 |
| HTML               |          7 |       -236 |        239 |        -29 |        -26 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                    |         67 |     10,329 |        240 |        -62 |     10,507 |
| Config                                                                                                                                               |          1 |          4 |          0 |          0 |          4 |
| GameData                                                                                                                                             |         18 |     10,959 |          8 |         24 |     10,991 |
| GameData\Game elements                                                                                                                               |          1 |         27 |          8 |         21 |         56 |
| GameData\Game elements\Personal                                                                                                                      |          1 |         27 |          8 |         21 |         56 |
| GameData\New Tiled                                                                                                                                   |         16 |     10,794 |          0 |          3 |     10,797 |
| GameData\New Tiled\TileMaps                                                                                                                          |          5 |        633 |          0 |          0 |        633 |
| GameData\New Tiled\TileMaps\Special                                                                                                                  |          3 |        357 |          0 |          0 |        357 |
| GameData\New Tiled\TileMaps\beta Maps                                                                                                                |          1 |        138 |          0 |          0 |        138 |
| GameData\New Tiled\TileSets                                                                                                                          |         11 |     10,161 |          0 |          3 |     10,164 |
| GameData\New Tiled\TileSets\JSON                                                                                                                     |         10 |      8,018 |          0 |          0 |      8,018 |
| GameData\Tiled                                                                                                                                       |          1 |        138 |          0 |          0 |        138 |
| GameData\Tiled\TileMaps                                                                                                                              |          1 |        138 |          0 |          0 |        138 |
| GameSrc                                                                                                                                              |         37 |       -447 |         -7 |        -64 |       -518 |
| GameSrc\PatnicRoom                                                                                                                                   |         32 |       -448 |         -3 |        -31 |       -482 |
| GameSrc\PatnicRoom\Cogsmos-Framework                                                                                                                 |          3 |          5 |         -3 |          1 |          3 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Dav-inc-i                                                                                                       |          3 |          5 |         -3 |          1 |          3 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Dav-inc-i\FSM-Panic                                                                                             |          3 |          5 |         -3 |          1 |          3 |
| GameSrc\PatnicRoom\Cogsmos-Framework\Dav-inc-i\FSM-Panic\MouseLogik                                                                                  |          1 |          0 |         -3 |          3 |          0 |
| GameSrc\PatnicRoom\Indexes                                                                                                                           |          1 |          6 |          0 |         16 |         22 |
| GameSrc\PatnicRoom\Indexes\Syntax                                                                                                                    |          1 |          6 |          0 |         16 |         22 |
| GameSrc\PatnicRoom\Indexes\Syntax\Event                                                                                                              |          1 |          6 |          0 |         16 |         22 |
| GameSrc\PatnicRoom\Modules                                                                                                                           |         13 |         21 |          0 |          5 |         26 |
| GameSrc\PatnicRoom\Modules\002-Tilemap-Structure                                                                                                     |          1 |         -1 |          0 |          1 |          0 |
| GameSrc\PatnicRoom\Modules\002-Tilemap-Structure\Controller                                                                                          |          1 |         -1 |          0 |          1 |          0 |
| GameSrc\PatnicRoom\Modules\004-Event                                                                                                                 |          9 |         21 |          0 |          5 |         26 |
| GameSrc\PatnicRoom\Modules\004-Event\Systems                                                                                                         |          9 |         21 |          0 |          5 |         26 |
| GameSrc\PatnicRoom\Modules\004-Event\Systems\Consider                                                                                                |          5 |         10 |          0 |         -4 |          6 |
| GameSrc\PatnicRoom\Modules\004-Event\Systems\Seize                                                                                                   |          1 |          4 |          0 |          9 |         13 |
| GameSrc\PatnicRoom\Modules\004-Event\Systems\Seize\MEDIUM                                                                                            |          1 |          4 |          0 |          9 |         13 |
| GameSrc\PatnicRoom\Modules\006-Conditions                                                                                                            |          1 |         -3 |          0 |         -1 |         -4 |
| GameSrc\PatnicRoom\Modules\006-Conditions\Controller                                                                                                 |          1 |         -3 |          0 |         -1 |         -4 |
| GameSrc\PatnicRoom\Modules\008-KitSet                                                                                                                |          1 |          6 |          0 |          0 |          6 |
| GameSrc\PatnicRoom\Modules\008-KitSet\Systems                                                                                                        |          1 |          6 |          0 |          0 |          6 |
| GameSrc\PatnicRoom\Modules\014-Behavior                                                                                                              |          1 |         -2 |          0 |          0 |         -2 |
| GameSrc\PatnicRoom\Modules\014-Behavior\Controller                                                                                                   |          1 |         -2 |          0 |          0 |         -2 |
| GameSrc\PatnicRoom\scenes                                                                                                                            |         15 |       -480 |          0 |        -53 |       -533 |
| GameSrc\PatnicRoom\scenes\Gameloop                                                                                                                   |         10 |       -621 |          0 |        -75 |       -696 |
| GameSrc\PatnicRoom\scenes\Gameloop\PanicMode                                                                                                         |          8 |         12 |          0 |         -6 |          6 |
| GameSrc\PatnicRoom\scenes\Gameloop\PanicMode\Subscenes                                                                                               |          7 |         10 |          0 |         -6 |          4 |
| GameSrc\PatnicRoom\scenes\Gameloop\PanicMode\Subscenes\Monitor Side Panel                                                                            |          2 |          6 |          0 |          2 |          8 |
| GameSrc\PatnicRoom\scenes\Gameloop\PanicMode\Subscenes\Rootpanel                                                                                     |          4 |          2 |          0 |         -4 |         -2 |
| GameSrc\PatnicRoom\scenes\Gameloop\PanicMode\Subscenes\ViewModes                                                                                     |          1 |          2 |          0 |         -4 |         -2 |
| GameSrc\PatnicRoom\scenes\Gameloop\RestMode                                                                                                          |          2 |       -633 |          0 |        -69 |       -702 |
| GameSrc\PatnicRoom\scenes\Gameloop\RestMode\Self                                                                                                     |          2 |       -633 |          0 |        -69 |       -702 |
| GameSrc\PatnicRoom\scenes\Gameloop\RestMode\Self\Charsheet                                                                                           |          1 |       -635 |          0 |        -69 |       -704 |
| GameSrc\PatnicRoom\scenes\Gameloop\RestMode\Self\Inventory                                                                                           |          1 |          2 |          0 |          0 |          2 |
| GameSrc\PatnicRoom\scenes\Unique                                                                                                                     |          5 |        141 |          0 |         22 |        163 |
| GameSrc\PatnicRoom\scenes\Unique\API_017_CLI                                                                                                         |          1 |          3 |          0 |          0 |          3 |
| GameSrc\PatnicRoom\scenes\Unique\Look at Panel                                                                                                       |          2 |        137 |          0 |         21 |        158 |
| GameSrc\PatnicRoom\scenes\Unique\Titlescreen                                                                                                         |          2 |          1 |          0 |          1 |          2 |
| GameSrc\PatnicRoom\scenes\Unique\Titlescreen\SubScene                                                                                                |          1 |          0 |          0 |          1 |          1 |
| GameSrc\Universal                                                                                                                                    |          5 |          1 |         -4 |        -33 |        -36 |
| GameSrc\Universal\GUI                                                                                                                                |          2 |         -5 |         -3 |         -5 |        -13 |
| GameSrc\Universal\GUI\Kitset_to_string                                                                                                               |          1 |         -5 |         -3 |         -6 |        -14 |
