"filename", "language", "JSON with Comments", "Rust", "JSON", "GDScript", "Properties", "LEC", "Markdown", "comment", "blank", "total"
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\src\backup_menue.rs", "Rust", 0, -17, 0, 0, 0, 0, 0, 33, -11, 5
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\src\concatted_menue.rs", "Rust", 0, 7, 0, 0, 0, 0, 0, 0, -2, 5
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\DevCLI\src\helpers.rs", "Rust", 0, 10, 0, 0, 0, 0, 0, -2, -8, 0
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Game elements\Stable\Actor_Attributes\Specialties\Doomsday_Prepper.lec", "LEC", 0, 0, 0, 0, 0, 34, 0, 8, 20, 62
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Game elements\Stable\Actor_Attributes\Specialties\Punk.lec", "LEC", 0, 0, 0, 0, 0, 34, 0, 8, 20, 62
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Game elements\Stable\Actor_Attributes\Specialties\Social_Media_Star.lec", "LEC", 0, 0, 0, 0, 0, 34, 0, 8, 20, 62
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Game elements\Stable\Kits\Magic\Spell\Mod\C_S_1__M_1___Event.lec", "LEC", 0, 0, 0, 0, 0, -4, 0, 0, 1, -3
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Game elements\Stable\Kits\Matrix\Hack\Base\X_H_1___Event.lec", "LEC", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Game elements\Stable\Kits\Matrix\Hack\Base\X_H_3___Event.lec", "LEC", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\JSON\03_Suburban.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\Content-Creator\Main.tscn", "Properties", 0, 0, 0, 0, -3, 0, 0, 0, -1, -4
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\Content-Creator\Root.gd", "GDScript", 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Cogsmos-Framework\Dav-inc-i\FSM-Panic\FSM_Action.gd", "GDScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 3
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\Cogsmos-Framework\Sokra-tiles\Framework\Chunk Visualicer\Actor.gd", "GDScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
