Date : 2022-02-17 11:54:11
Directory : c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition
Total : 892 files,  88032 codes, 2098 comments, 15864 blanks, all 105994 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Properties         |         85 |     32,304 |         10 |      2,854 |     35,168 |
| JSON               |         78 |     28,734 |          0 |        410 |     29,144 |
| Markdown           |        216 |     14,290 |          0 |      3,082 |     17,372 |
| GDScript           |        429 |      9,293 |        930 |      7,429 |     17,652 |
| LEC                |         57 |      1,409 |        463 |      1,206 |      3,078 |
| HTML               |          7 |        848 |        298 |        389 |      1,535 |
| CSS                |          6 |        593 |        108 |        224 |        925 |
| Rust               |          7 |        338 |         34 |        164 |        536 |
| YAML               |          2 |        136 |          0 |         72 |        208 |
| JSON with Comments |          1 |         72 |        232 |         31 |        335 |
| JavaScript         |          3 |         14 |         23 |          2 |         39 |
| Shell Script       |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                          |        892 |     88,032 |      2,098 |     15,864 |    105,994 |
| Config                                                                                                                                                     |          9 |        391 |          0 |         80 |        471 |
| Config\savestate                                                                                                                                           |          6 |        212 |          0 |         69 |        281 |
| Config\savestate\Chummer                                                                                                                                   |          2 |         76 |          0 |          7 |         83 |
| Config\savestate\quickStart                                                                                                                                |          2 |         70 |          0 |         31 |        101 |
| Config\savestate\template                                                                                                                                  |          2 |         66 |          0 |         31 |         97 |
| DevCLI                                                                                                                                                     |         18 |      7,848 |         34 |        230 |      8,112 |
| DevCLI\Output                                                                                                                                              |         10 |      7,509 |          0 |         65 |      7,574 |
| DevCLI\Output\Workspace Stats                                                                                                                              |         10 |      7,509 |          0 |         65 |      7,574 |
| DevCLI\Output\Workspace Stats\2021-11-05_04-16-20                                                                                                          |          2 |      1,795 |          0 |         13 |      1,808 |
| DevCLI\Output\Workspace Stats\2021-11-05_04-17-42                                                                                                          |          2 |      1,795 |          0 |         13 |      1,808 |
| DevCLI\Output\Workspace Stats\2021-11-05_04-17-57                                                                                                          |          2 |      1,619 |          0 |         13 |      1,632 |
| DevCLI\Output\Workspace Stats\2021-11-05_04-19-36                                                                                                          |          2 |      1,150 |          0 |         13 |      1,163 |
| DevCLI\Output\Workspace Stats\2021-11-05_04-19-48                                                                                                          |          2 |      1,150 |          0 |         13 |      1,163 |
| DevCLI\src                                                                                                                                                 |          7 |        338 |         34 |        164 |        536 |
| GameData                                                                                                                                                   |        124 |     36,047 |        463 |      1,503 |     38,013 |
| GameData\Alecandria                                                                                                                                   |          9 |      1,207 |          0 |        136 |      1,343 |
| GameData\Alecandria\Forms                                                                                                                             |          7 |        149 |          0 |         75 |        224 |
| GameData\Game elements                                                                                                                                     |         61 |      1,567 |        463 |      1,272 |      3,302 |
| GameData\Game elements\Personal                                                                                                                            |          1 |         27 |          8 |         21 |         56 |
| GameData\Game elements\Stable                                                                                                                              |         60 |      1,540 |        455 |      1,251 |      3,246 |
| GameData\Game elements\Stable\Actor_Attributes                                                                                                             |         20 |        645 |        160 |        405 |      1,210 |
| GameData\Game elements\Stable\Actor_Attributes\Races                                                                                                       |          5 |        135 |         40 |        105 |        280 |
| GameData\Game elements\Stable\Actor_Attributes\Roles                                                                                                       |          6 |        204 |         48 |        120 |        372 |
| GameData\Game elements\Stable\Actor_Attributes\Specialties                                                                                                 |          9 |        306 |         72 |        180 |        558 |
| GameData\Game elements\Stable\Actor_RNG_Templates                                                                                                          |          1 |         20 |          8 |         19 |         47 |
| GameData\Game elements\Stable\Conditions                                                                                                                   |          3 |         47 |         27 |         77 |        151 |
| GameData\Game elements\Stable\Kits                                                                                                                         |         36 |        828 |        260 |        750 |      1,838 |
| GameData\Game elements\Stable\Kits\Magic                                                                                                                   |         22 |        442 |        175 |        459 |      1,076 |
| GameData\Game elements\Stable\Kits\Magic\Infusion                                                                                                          |          4 |         89 |         34 |         92 |        215 |
| GameData\Game elements\Stable\Kits\Magic\Infusion\Base                                                                                                     |          4 |         89 |         34 |         92 |        215 |
| GameData\Game elements\Stable\Kits\Magic\Spell                                                                                                             |         18 |        353 |        141 |        367 |        861 |
| GameData\Game elements\Stable\Kits\Magic\Spell\Base                                                                                                        |          6 |        137 |         51 |        135 |        323 |
| GameData\Game elements\Stable\Kits\Magic\Spell\Mod                                                                                                         |         12 |        216 |         90 |        232 |        538 |
| GameData\Game elements\Stable\Kits\Matrix                                                                                                                  |         10 |        228 |         85 |        225 |        538 |
| GameData\Game elements\Stable\Kits\Matrix\Cyberware                                                                                                        |          4 |         90 |         34 |         90 |        214 |
| GameData\Game elements\Stable\Kits\Matrix\Cyberware\Base                                                                                                   |          4 |         90 |         34 |         90 |        214 |
| GameData\Game elements\Stable\Kits\Matrix\Hack                                                                                                             |          6 |        138 |         51 |        135 |        324 |
| GameData\Game elements\Stable\Kits\Matrix\Hack\Base                                                                                                        |          6 |        138 |         51 |        135 |        324 |
| GameData\Game elements\Stable\Kits\Meat                                                                                                                    |          4 |        158 |          0 |         66 |        224 |
| GameData\Game elements\Stable\Kits\Meat\Gun                                                                                                                |          2 |         88 |          0 |         38 |        126 |
| GameData\Game elements\Stable\Kits\Meat\Gun\Base                                                                                                           |          1 |         44 |          0 |         19 |         63 |
| GameData\Game elements\Stable\Kits\Meat\Gun\Mod                                                                                                            |          1 |         44 |          0 |         19 |         63 |
| GameData\Game elements\Stable\Kits\Meat\Meele                                                                                                              |          2 |         70 |          0 |         28 |         98 |
| GameData\Game elements\Stable\Kits\Meat\Meele\Base                                                                                                         |          1 |         44 |          0 |         19 |         63 |
| GameData\Game elements\Stable\Kits\Meat\Meele\Mod                                                                                                          |          1 |         26 |          0 |          9 |         35 |
| GameData\New Tiled                                                                                                                                         |         16 |     10,794 |          0 |          3 |     10,797 |
| GameData\New Tiled\TileMaps                                                                                                                                |          5 |        633 |          0 |          0 |        633 |
